Term,Definition
机器学习是人是什么？,机器学习是人工智能的一个分支，它使计算机能够从数据中学习。
{{c1::机器学习是人}}工智能的一个分支，它使计算机能够从数据中学习。,机器学习是人工智能的一个分支，它使计算机能够从数据中学习。
深度学习包括是什么？,深度学习包括神经网络、卷积神经网络、循环神经网络等。
深度学习包括{{c1::神经网络、卷积神经网络、循环神经网络等。}},深度学习包括神经网络、卷积神经网络、循环神经网络等。
过拟合是指模是什么？,过拟合是指模型在训练数据上表现很好，但在新数据上表现差。
{{c1::过拟合是指模}}型在训练数据上表现很好，但在新数据上表现差。,过拟合是指模型在训练数据上表现很好，但在新数据上表现差。
是一种高级编是什么？,Python是一种高级编程语言，它的设计哲学强调代码的可读性。
{{c1::是一种高级编}}是一种高级编程语言，它的设计哲学强调代码的可读性。,Python是一种高级编程语言，它的设计哲学强调代码的可读性。
神经网络的基是什么？,神经网络的基本单元是神经元，它接收输入并产生输出。
{{c1::神经网络的基}}本单元是神经元，它接收输入并产生输出。,神经网络的基本单元是神经元，它接收输入并产生输出。
